id:ID,value,:LABEL
Prop-001,1100_GBP,hasProperty
Prop-002,750_GBP,hasProperty
Prop-003,beBroken,hasProperty
Prop-004,beDanger,hasProperty
Prop-005,beDizzy,hasProperty
Prop-006,beFaint,hasProperty
Prop-007,beFake,hasProperty
Prop-008,beFixed,hasProperty
Prop-009,beScared,hasProperty
Prop-010,beSmall,hasProperty
Prop-011,beSoftly,hasProperty
Prop-012,beStrange,hasProperty
Prop-013,beTied,hasProperty
Prop-014,beUnobservable,hasProperty
Prop-015,brown_oak_of_insect_holes,hasProperty
Prop-016,burned,hasProperty
Prop-017,close,hasProperty
Prop-018,decorated,hasProperty
Prop-019,disappeared,hasProperty
Prop-020,effected,hasProperty
Prop-021,fake,hasProperty
Prop-022,filledWith,hasProperty
Prop-023,fixed,hasProperty
Prop-024,getAnger,hasProperty
Prop-025,getAngry,hasProperty
Prop-026,getDark,hasProperty
Prop-027,gray,hasProperty
Prop-028,hard,hasProperty
Prop-029,have,hasProperty
Prop-030,hotel,hasProperty
Prop-031,live,hasProperty
Prop-032,lock,hasProperty
Prop-033,louder,hasProperty
Prop-034,madeByBrownOakWithInsectHoles,hasProperty
Prop-035,madeByIron,hasProperty
Prop-036,madeByMossyStone,hasProperty
Prop-037,modified,hasProperty
Prop-038,narrow,hasProperty
Prop-039,new,hasProperty
Prop-040,notFind,hasProperty
Prop-041,notFixed,hasProperty
Prop-042,notKnown,hasProperty
Prop-043,opened,hasProperty
Prop-044,repair,hasProperty
Prop-045,ruined,hasProperty
Prop-046,simple,hasProperty
Prop-047,small,hasProperty
Prop-048,speckled,hasProperty
Prop-049,strapped,hasProperty
Prop-050,strengthened,hasProperty
Prop-051,subClassOf,hasProperty
Prop-052,thick,hasProperty
Prop-053,turnPale,hasProperty
Prop-054,wider,hasProperty
Prop-055,blank-field,hasProperty
