id:ID,value,:LABEL
to-001,Crown_Inn,to
to-002,Julia,to
to-003,Leatherhead_station,to
to-004,London,to
to-005,Roylott,to
to-006,Stoke_Moran,to
to-007,bed,to
to-008,bedroom_of_Helen,to
to-009,bedroom_of_Julia,to
to-010,bedroom_of_Roylott,to
to-011,bedroom_of_housekeeper,to
to-012,corridor,to
to-013,floor,to
to-014,floor_of_bedroom_of_Helen,to
to-015,floor_of_bedroom_of_Julia,to
to-016,garden_of_mansion,to
to-017,house_of_Holmes,to
to-018,mansion_of_Roylott,to
to-019,safe,to
to-020,ventilator,to
to-021,blank-field,to
