id:ID,value,:LABEL
when-001,17,when
when-002,283,when
when-003,2_years_ago,when
when-004,30_years_old,when
when-005,317,when
when-006,323,when
when-007,324,when
when-008,337,when
when-009,341,when
when-010,393,when
when-011,8_years_ago,when
when-012,anger,when
when-013,at_the_same_time_as_rope_of_bell_put,when
when-014,crooked_voice,when
when-015,daytime,when
when-016,death_day_of_Julia,when
when-017,death_day_of_Roylott,when
when-018,death_day_of_mother_of_Helen,when
when-019,early_morning,when
when-020,eleven_o'clock,when
when-021,every_year,when
when-022,fear,when
when-023,for_half_an_hour,when
when-024,if_Helen_and_Julia_married,when
when-025,last_night,when
when-026,night,when
when-027,now,when
when-028,occasionally,when
when-029,one_month_ago,when
when-030,recently,when
when-031,since_yesterday,when
when-032,some_years_ago,when
when-033,spring,when
when-034,suffering,when
when-035,these_days,when
when-036,this_afternoon,when
when-037,this_morning,when
when-038,today,when
when-039,tonight,when
when-040,two_weeks_before_the_wedding_ceremony,when
when-041,two_years_ago,when
when-042,until_signal_of_Helen,when
when-043,until_the_evening,when
when-044,when_get_married,when
when-045,within_2_months,when
when-046,blank-field,when
