id:ID,value,:LABEL
wher-001,Crane_Water,where
wher-002,Crewe,where
wher-003,Crown_Inn,where
wher-004,Harrow,where
wher-005,India,where
wher-006,Leatherhead_station,where
wher-007,London,where
wher-008,Stoke_Moran,where
wher-009,bed,where
wher-010,bedroom_of_Helen,where
wher-011,bedroom_of_Julia,where
wher-012,bedroom_of_Roylott,where
wher-013,bedroom_of_Roylott_OR_garden_of_Roylott_OR_bedroom_of_Helen,where
wher-014,body_of_Julia,where
wher-015,chair,where
wher-016,chest,where
wher-017,chimney_of_bedroom_of_Julia,where
wher-018,corner_of_bed,where
wher-019,corridor,where
wher-020,first_floor_of_one_building_of_mansion_of_Roylott,where
wher-021,garden_of_Roylott,where
wher-022,mansion_of_Roylott,where
wher-023,near_rope_of_bell,where
wher-024,right_building_of_mansion_of_Roylott,where
wher-025,safe,where
wher-026,shutter,where
wher-027,small_dish,where
wher-028,stone_wall,where
wher-029,ventilator,where
wher-030,wrist_of_Helen,where
wher-031,blank-field,where
