article,person
10009927248,P00000
10009927248,P00001
10009927248,P00002
10009927248,P00003
10009927248,P00004
10009927248,P00005
10009927248,P00006
10009927248,P00007
10009927771,P00001
10009927771,P00000
10009927771,P00002
10009927771,P00008
10009927771,P00003
10009927771,P00005
10009927771,P00004
10009927771,P00006
10009927771,P00009
10009927771,P00007
10009929609,P00001
10009929609,P00002
10009929609,P00008
10009929609,P00003
10009929609,P00005
10009929609,P00006
10009929609,P00010
10009929609,P00007
10011367082,P00001
10011367082,P00002
10011367082,P00008
10011367082,P00003
10011367082,P00005
10011367082,P00006
10011367082,P00009
10011367082,P00011
10011368162,P00000
10011368162,P00001
10011368162,P00002
10011368162,P00008
10011368162,P00003
10011368162,P00004
10011368162,P00005
10011368162,P00006
10011368162,P00009
10011368162,P00007
10013060144,P00012
10015770681,P00012
10015770697,P00002
10015770697,P00013
10015770697,P00014
10015770697,P00015
10015770697,P00001
10015770697,P00003
10015770697,P00006
10015770697,P00016
10015770697,P00017
10015770697,P00018
10015770697,P00005
10015770697,P00007
10015770936,P00001
10015770936,P00002
10015770936,P00008
10015770936,P00003
10015770936,P00005
10015770936,P00006
10015770936,P00009
10015770936,P00007
10015771407,P00001
10015771407,P00002
10015771407,P00019
10015771407,P00020
10015771407,P00021
10015771407,P00003
10015771407,P00005
10015771407,P00006
10015771407,P00022
10015771407,P00023
10015771407,P00024
10015771407,P00007
10015771737,P00021
10015771737,P00000
10015771737,P00001
10015771737,P00002
10015771737,P00003
10015771737,P00024
10015771737,P00004
10015771737,P00005
10015771737,P00006
10015771737,P00007
10022005765,P00025
10022005765,P00001
10022005765,P00002
10022005765,P00003
10022005765,P00026
10022005765,P00005
10022005765,P00006
10022005765,P00007
10025992144,P00001
10025992144,P00005
10031173611,P00001
10031173611,P00005
110002695045,P00027
110002695045,P00001
110002695045,P00002
110002695045,P00028
110002695045,P00029
110002695045,P00030
110002695045,P00031
110002695045,P00003
110002695045,P00032
110002695045,P00005
110002695045,P00006
110002695045,P00033
110002695045,P00034
110002695045,P00035
110002695045,P00036
110002695045,P00037
110002806453,P00001
110002809485,P00001
110002809485,P00003
110002809485,P00038
110002809485,P00039
110002809485,P00005
110002809485,P00007
110002809485,P00038
110002809485,P00039
110002892699,P00001
110002892699,P00002
110002892699,P00040
110002892699,P00008
110002892699,P00003
110002894415,P00000
110002894415,P00001
110002894415,P00002
110002894415,P00003
110003205635,P00027
110003205635,P00001
110003205635,P00002
110003205635,P00028
110003205635,P00029
110003205635,P00030
110003205635,P00031
110003205635,P00003
110003205635,P00032
110003205635,P00005
110003205635,P00006
110003205635,P00033
110003205635,P00034
110003205635,P00035
110003205635,P00036
110003205635,P00037
110006423079,P00041
110006423079,P00001
110006423079,P00003
110006423079,P00042
110006423079,P00005
110006423079,P00007
110007658018,P00001
110007658018,P00038
110007658018,P00005
110007658018,P00038
110009554594,P00043
110009554594,P00044
110009554594,P00045
110009554594,P00046
110009554594,P00047
110009554594,P00001
110009801185,P00048
110009801185,P00049
110009801185,P00001
110009801185,P00050
110009801185,P00051
110009801185,P00052
110009801185,P00053
110009801185,P00054
110009801185,P00055
110009801185,P00056
110009801185,P00057
110009801185,P00058
110009801186,P00049
110009801186,P00048
110009801186,P00001
110009801186,P00050
110009801186,P00054
110009801186,P00053
110009801186,P00059
110009801186,P00056
110009884659,P00001
110009903915,P00049
110009903915,P00050
110009903915,P00048
110009903915,P00001
110009903915,P00060
110009903915,P00061
110009903915,P00062
110009903915,P00005
110009903916,P00048
110009903916,P00049
110009903916,P00050
110009903916,P00001
110009903916,P00062
110009903916,P00060
110009903916,P00061
110009903916,P00005
110009903917,P00001
110009903917,P00049
110009903917,P00050
110009903917,P00048
110009903917,P00005
110009903917,P00060
110009903917,P00061
110009903917,P00062
110009903918,P00050
110009903918,P00049
110009903918,P00048
110009903918,P00001
110009903918,P00061
110009903918,P00060
110009903918,P00062
110009903918,P00005
110009905543,P00049
110009905543,P00050
110009905543,P00048
110009905543,P00001
110009905543,P00060
110009905543,P00061
110009905543,P00062
110009905543,P00005
110009905544,P00001
110009905544,P00049
110009905544,P00050
110009905544,P00048
110009905544,P00005
110009905544,P00060
110009905544,P00061
110009905544,P00062
110009905545,P00050
110009905545,P00049
110009905545,P00048
110009905545,P00001
110009905545,P00061
110009905545,P00060
110009905545,P00062
110009905545,P00005
110009905546,P00048
110009905546,P00049
110009905546,P00050
110009905546,P00001
110009905546,P00062
110009905546,P00060
110009905546,P00061
110009905546,P00005
110009905706,P00049
110009905706,P00050
110009905706,P00048
110009905706,P00001
110009905706,P00060
110009905706,P00061
110009905706,P00062
110009905706,P00005
110009985456,P00063
110009985456,P00064
110010000821,P00001
110010000821,P00065
110010016803,P00001
110010016803,P00038
110010016803,P00005
110010016803,P00038
120005198544,P00001
120005198544,P00066
120005198544,P00003
120006675324,P00067
120006675324,P00068
120006675324,P00001
120006675324,P00069
120006675324,P00070
120006675324,P00003
130000097882,P00027
130000097882,P00001
130000097882,P00002
130000097882,P00003
130000097882,P00071
130000097882,P00072
130000097882,P00073
130000097882,P00074
130000308084,P00027
130000308084,P00001
130000308084,P00002
130000308084,P00003
130000308084,P00071
130000308084,P00072
130000308084,P00073
130000308084,P00074
