keyword,article
K00208,40020883692
K00207,40020775891
K00206,40020775891
K00205,40020775891
K00204,40020545330
K00203,40020545330
K00202,170000182434
K00201,170000174464
K00200,170000165559
K00200,170000086272
K00199,130007917743
K00198,130007917743
K00197,130007917743
K00196,130007917743
K00195,130007917743
K00194,130007917743
K00193,130007917721
K00192,130007917743
K00192,130007917606
K00191,130007917743
K00191,130007917606
K00190,130007917606
K00189,130007917721
K00189,130007917606
K00188,130007917463
K00187,130007917743
K00187,130007917463
K00186,130007917463
K00185,130007917463
K00184,130007883187
K00183,130007883187
K00182,130007883187
K00181,40020545330
K00181,130007883187
K00180,130007883187
K00179,130007883187
K00178,130007883187
K00177,130007883187
K00176,130007856724
K00175,130007856718
K00174,130007849959
K00173,130007849959
K00172,130007849959
K00171,130007856724
K00171,130007658351
K00170,130007856724
K00170,130007658351
K00169,130007856724
K00169,130007658351
K00168,130007658351
K00167,130007856724
K00167,130007849959
K00167,130007658351
K00166,130007856724
K00166,130007658351
K00165,130007856724
K00165,130007658351
K00164,130007856724
K00164,130007658351
K00163,130007856724
K00163,130007849959
K00163,130007658351
K00162,130007543134
K00161,130007543134
K00160,130007543134
K00159,130006730828
K00158,130006730828
K00157,130006730828
K00156,130006730828
K00155,130006730828
K00154,130006730828
K00153,130006730828
K00152,130006730828
K00151,130006730828
K00150,130006415583
K00149,130006415583
K00148,130006234952
K00147,130006234952
K00146,130006234952
K00145,130007849959
K00145,130006234952
K00144,130007849959
K00144,130006234952
K00143,130007883187
K00143,130007849959
K00143,130006234952
K00142,130006234952
K00141,130006234952
K00140,40020545330
K00140,130006234952
K00139,130007849959
K00139,130006234952
K00138,130007849959
K00138,130006234952
K00137,130005399517
K00136,130005399517
K00135,130005399517
K00134,130006415583
K00134,130005399517
K00133,130006415583
K00133,130005399517
K00132,130005396365
K00131,130005396365
K00130,40020545330
K00130,130007883187
K00130,130007849959
K00130,130005396365
K00129,130005396365
K00128,130005396365
K00127,130005164873
K00126,40020545330
K00126,130005396365
K00126,130005164873
K00125,130005148393
K00124,130005148393
K00123,130005148393
K00122,130005148393
K00121,130005148393
K00120,130005148393
K00119,130005118950
K00118,130005118950
K00117,130005118950
K00116,130005118945
K00115,130005118945
K00114,130005118945
K00113,130005089820
K00112,130005089820
K00111,130005089820
K00110,130005089820
K00109,130005396365
K00109,130005089820
K00108,130005118950
K00108,130005089820
K00107,130005089820
K00106,130005089820
K00105,130005396365
K00105,130005164873
K00105,130005089820
K00104,130005089820
K00103,130007917606
K00103,130007917463
K00103,130005118950
K00103,130005118945
K00103,130004927345
K00102,130005118950
K00102,130005118945
K00102,130004927345
K00101,130004927345
K00100,130006730828
K00100,130004927345
K00099,130005118945
K00099,130004927345
K00098,130000455455
K00097,130000455454
K00096,130000455454
K00095,130006730828
K00095,130000455455
K00095,130000455454
K00094,130000308084
K00093,130007543134
K00093,130000308084
K00092,130000308084
K00091,130000097882
K00090,130001885112
K00090,120005198544
K00089,130001885112
K00089,120005198544
K00088,130006415583
K00088,130001885112
K00088,120005198544
K00087,130006415583
K00087,130005399517
K00087,130001885112
K00087,120005198544
K00086,130006415583
K00086,130005399517
K00086,130001885112
K00086,120005198544
K00085,120005198544
K00084,110009905706
K00083,110009905545
K00082,110009905545
K00081,110009905544
K00080,110009905544
K00079,110009905543
K00078,110009905543
K00077,110009905543
K00076,110009903918
K00075,110009903918
K00074,110009903918
K00073,110009905546
K00073,110009903917
K00072,110009903916
K00071,110009903916
K00070,110009903915
K00069,110009903915
K00068,110009903915
K00067,40020775891
K00067,110009905706
K00067,110009905543
K00067,110009903915
K00066,110009801186
K00065,110009903917
K00065,110009801186
K00064,110009801186
K00063,110009801186
K00062,110009801185
K00061,110009801185
K00060,110009801185
K00059,40020775891
K00059,110009905706
K00059,110009905546
K00059,110009905545
K00059,110009905544
K00059,110009905543
K00059,110009903917
K00059,110009903916
K00059,110009903915
K00059,110009801185
K00058,130007917463
K00058,110007658018
K00057,110007658018
K00056,110007658018
K00055,130000455454
K00055,110006423079
K00054,110006423079
K00053,110006423079
K00052,130000455455
K00052,130000455454
K00052,110002809485
K00051,110002806453
K00050,110002806453
K00049,110002806453
K00048,110003205635
K00048,110002695045
K00047,110003205635
K00047,110002695045
K00046,40020545330
K00046,110003205635
K00046,110002695045
K00045,130007856724
K00045,130007849959
K00045,130007658351
K00045,110003205635
K00045,110002695045
K00044,110003205635
K00044,110002695045
K00043,110003205635
K00043,110002695045
K00042,110003205635
K00042,110002695045
K00041,110003205635
K00041,110002695045
K00040,110003205635
K00040,110002695045
K00039,110003205635
K00039,110002695045
K00038,110003205635
K00038,110002695045
K00037,110003205635
K00037,110002695045
K00036,110003205635
K00036,110002695045
K00035,130007917721
K00035,130005396365
K00035,110007658018
K00035,110002809485
K00035,10031173611
K00034,130007917721
K00034,130005396365
K00034,110007658018
K00034,110002809485
K00034,10031173611
K00033,10031173611
K00032,40020775891
K00032,130005118950
K00032,10031173611
K00031,10031173611
K00030,130007849959
K00030,10031173611
K00029,110009903917
K00029,10031173611
K00028,40020545330
K00028,130007883187
K00028,130007856718
K00028,130006234952
K00028,130005396365
K00028,10031173611
K00027,40020545330
K00027,130007883187
K00027,130007856718
K00027,130007849959
K00027,130006234952
K00027,10031173611
K00026,40020545330
K00026,130007883187
K00026,130007856718
K00026,130006234952
K00026,130005396365
K00026,10031173611
K00025,10031173611
K00024,130006730828
K00024,110007658018
K00024,10025992144
K00023,10025992144
K00022,10025992144
K00021,10025992144
K00020,10025992144
K00019,10025992144
K00018,40020775891
K00018,130005396365
K00018,130005148393
K00018,130005089820
K00018,120005198544
K00018,110009905706
K00018,110009905546
K00018,110009905545
K00018,110009905544
K00018,110009905543
K00018,110009903917
K00018,110006423079
K00018,110002806453
K00018,10031173611
K00018,10025992144
K00017,10022005765
K00016,10015771737
K00015,10015771407
K00014,130000097882
K00014,10015771407
K00013,130007917743
K00013,130000097882
K00013,10015771407
K00012,110002809485
K00012,10025992144
K00012,10022005765
